Name,Lat,Lon,Date,Time,Load
B02061,40.910474,-74.496064,,,1
B02631,41.279635,-74.395213,,,1
B02501,40.805909,-74.369806,,,1
B02173,40.694944,-74.298584,,,1
B90373,41.345334,-74.267069,,,1
B01452,40.515693,-74.24379,,,1
B00972,40.547111,-74.230602,,,1
B01923,40.647572,-74.192462,,,1
B02120,40.672872,-74.191522,,,1
B02673,40.250959,-74.181879,,,1
B00023,40.597937,-74.180879,,,1
B02113,40.82324,-74.15577,,,1
B01537,40.551166,-74.150331,,,1
B02028,40.625268,-74.150026,,,1
B02060,41.083195,-74.149467,,,1
B02345,41.102159,-74.147404,,,1
B90581,40.637146,-74.147127,,,1
B01808,40.633944,-74.146047,,,1
B01742,40.784593,-74.136648,,,1
B02279,40.633162,-74.134678,,,1
B02726,40.638483,-74.132981,,,1
B90032,40.633732,-74.127776,,,1
B02416,40.631655,-74.125142,,,1
B02142,40.947141,-74.120658,,,1
B90702,40.639677,-74.11776,,,1
B01644,40.901619,-74.115091,,,1
B90469,40.573379,-74.106847,,,1
B01177,40.566497,-74.101797,,,1
B01268,40.617814,-74.101562,,,1
B02196,40.580609,-74.099723,,,1
B02705,40.89731,-74.09968,,,1
B02627,40.863984,-74.097836,,,1
B02661,40.615467,-74.084691,,,1
B02265,40.595108,-74.081578,,,1
B01379,40.595203,-74.081389,,,1
B01453,40.637227,-74.081375,,,1
B02341,40.86078,-74.07969,,,1
B00965,40.62449,-74.079551,,,1
B01416,40.638874,-74.078077,,,1
B01800,40.781866,-74.078068,,,1
B02517,40.63757,-74.077985,,,1
B00706,40.637061,-74.076471,,,1
B02301,40.643549,-74.072609,,,1
B01854,40.922149,-74.069539,,,1
B02256,40.922429,-74.069529,,,1
B02222,40.7158,-74.06786,,,1
B02364,40.74202,-74.059838,,,1
B02180,40.823748,-74.056855,,,1
B02767,40.891525,-74.033959,,,1
B01353,40.617785,-74.033365,,,1
B02610,40.845916,-74.033126,,,1
B01642,40.621914,-74.031682,,,1
B00112,40.616293,-74.030681,,,1
B02106,41.04021,-74.03036,,,1
B01079,40.618884,-74.029966,,,1
B00475,40.622917,-74.028865,,,1
