NAME,Lat,Lon,Date,Time,Load
Smith St & Bergen St At Ne Corner (To Manhattan And Queens Only),40.68672833,-73.990272,,,1
Court St & Montague St At Sw Corner,40.69372533,-73.990678,,,1
Court St & Montague St At Sw Corner,40.69364233,-73.990592,,,1
Clinton St & Montague St At Nw Corner,40.69439312,-73.99253736,,,1
Flatbush Ave & Empire Blvd At Sw Corner,40.66272736,-73.96224892,,,1
4th Ave & Union St At Sw Corner (To Bay Ridge And Coney Island Only),40.67716435,-73.98339417,,,1
4th Ave & Union St At Se Corner (To Manhattan Only),40.67705164,-73.98308231,,,1
4th Ave & Union St At Se Corner (To Manhattan Only),40.67719509,-73.98299,,,1
Flatbush Ave & Bergen St At Sw Corner (To New Lots And Flatbush Only),40.68069933,-73.975209,,,1
Lawrence St & Willoughby St At Ne Corner,40.69204411,-73.98621464,,,1
Lawrence St & Willoughby St At Se Corner,40.69225842,-73.98611377,,,1
Hoyt St & Fulton St At Sw Corner (To New Lots And Flatbush Only),40.69044933,-73.985271,,,1
Bridge St & Fulton St At Ne Corner (To Manhattan Only),40.69089533,-73.985255,,,1
Duffield St & Fulton St At Nw Corner (To Manhattan Only),40.69044233,-73.984551,,,1
Duffield St & Fulton St At Ne Corner (To Manhattan Only),40.69040733,-73.984347,,,1
Bridge St & Willoughby St At Sw Corner,40.6920956,-73.98536144,,,1
Bridge St & Willoughby St At Ne Corner,40.69223494,-73.98519674,,,1
Flatbush Ave & Fleet St At Ne Corner,40.6915088,-73.98215995,,,1
4th Ave & Pacific St At Nw Corner,40.68392533,-73.978871,,,1
Ashland Pl & Hanson Pl At Ne Corner,40.68515511,-73.97774737,,,1
Lawrence St & Willoughby St At Ne Corner,40.6923566,-73.98619068,,,1
Smith St & President St At Nw Corner,40.68111653,-73.99439275,,,1
Washington Ave & Eastern Pkwy At Sw Corner,40.67187792,-73.96437533,,,1
Washington Ave & Eastern Pkwy At Nw Corner,40.67213641,-73.96415218,,,1
Franklin Ave & Eastern Pkwy At Se Corner,40.67034265,-73.9578869,,,1
Franklin Ave & Eastern Pkwy At Ne Corner,40.67074103,-73.9576456,,,1
Franklin Ave & Fulton St At Sw Corner,40.68103492,-73.95569778,,,1
Franklin Ave & Eastern Pkwy At Ne Corner,40.67092663,-73.95772032,,,1
Jay St & York St At Sw Corner,40.70132133,-73.986653,,,1
Essex St & Delancey St At Nw Corner,40.71875307,-73.98827786,,,1
Flatbush Ave & De Kalb Ave At Se Corner,40.68986469,-73.9813607,,,1
Beach 90th St & Rockaway Frwy At Se Corner,40.58772911,-73.81401045,,,1
Red Cross Pl & Adams St At Sw Corner,40.6991615,-73.98891298,,,1
Sands St & Adams St At Se Corner,40.69925855,-73.9882707,,,1
Court St & Joralemon St At Ne Corner,40.69260441,-73.99060229,,,1
144-01 Hillside Avenue,40.70534033,-73.811829,,,1
1515 Foster Avenue (Enter From Newkirk Ave Pz),40.63504233,-73.962783,,,1
37-01 36 Street (To Manhattan And Brooklyn Only),40.75221933,-73.927641,,,1
4902 12 Avenue,40.63637533,-73.994612,,,1
1 Barclay Street (Enter On Park Place),40.71261233,-74.008224,,,1
486 Clinton Avenue (To Manhattan Only),40.68367744,-73.96711602,,,1
1175 Mc Donald Avenue,40.6245642,-73.9757772,,,1
135-02 89 Avenue,40.70097088,-73.81629903,,,1
40-02 75 Street,40.74655506,-73.89071415,,,1
1122 Broadway,40.69367233,-73.929667,,,1
729 7 Avenue (Uptown Only),40.76029733,-73.983567,,,1
421 7 Avenue,40.75028333,-73.99065,,,1
401 7 Avenue,40.74965633,-73.99113,,,1
502 Broadway,40.70547144,-73.95054471,,,1
2 Ann Street,40.71069233,-74.008428,,,1
421 7 Avenue,40.75031333,-73.990854,,,1
92-20 Jamaica Avenue,40.69343233,-73.85244,,,1
235 Brook Avenue (To Manhattan Only),40.80776734,-73.919314,,,1
101 Avenue I,40.62614515,-73.97603747,,,1
102 Beverly Road,40.64271533,-73.97924,,,1
656 5 Avenue,40.76042233,-73.976146,,,1
1490 Fulton Street (To Queens Only),40.6797779,-73.94135896,,,1
311 7 Avenue (Uptown Only),40.74703633,-73.993138,,,1
Nassau Pl & Averill Pl At Sw Corner,40.51783269,-74.2390068,,,1
75 Richmond Terrace,40.64472488,-74.07671915,,,1
295 Broadway (To Manhattan Only),40.70858933,-73.95801,,,1
166 6 Avenue,40.72558334,-74.003747,,,1
701 Seneca Avenue,40.70283633,-73.907481,,,1
82-01 Roosevelt Avenue,40.74781733,-73.883829,,,1
47 Pine Street,40.70679995,-74.00887882,,,1
1025 Longwood Avenue (To Manhattan Only),40.81655333,-73.896234,,,1
573 Lafayette Avenue,40.69002503,-73.9516544,,,1
180 Central Park West,40.78089533,-73.972918,,,1
4761 Broadway,40.86575833,-73.927266,,,1
39-16 111 Street,40.75169833,-73.856017,,,1
418 Broadway,40.71947133,-74.001617,,,1
462 Flatbush Avenue (Enter From Lincoln Rd),40.6608587,-73.96204896,,,1
956 8 Avenue,40.76645233,-73.982815,,,1
1720 Broadway,40.68318133,-73.911274,,,1
856 Fulton Street (To Queens Only),40.68338859,-73.96709508,,,1
42-01 28 Street,40.74914333,-73.937979,,,1
2154 Fulton Street,40.67805433,-73.910634,,,1
1 Centre Street,40.71269933,-74.004099,,,1
626 Manhattan Avenue,40.72371533,-73.950592,,,1
344 Classon Avenue,40.68876323,-73.96014953,,,1
40-33 21 Street,40.75406933,-73.942132,,,1
1824 Broadway,40.76870133,-73.981717,,,1
602 Marcy Avenue,40.69397933,-73.94908,,,1
131 East 60 Street,40.76264133,-73.967637,,,1
2137 Nostrand Avenue,40.63303462,-73.94750633,,,1
70 6 Avenue (To Manhattan Only),40.68067533,-73.974763,,,1
Nostrand Ave & Flatbush Ave At Nw Corner,40.63325133,-73.947928,,,1
Nostrand Ave & Flatbush Ave At Ne Corner,40.63285833,-73.947506,,,1
Nostrand Ave & Church Ave At Se Corner (To Manhattan Only),40.65066333,-73.949416,,,1
Nostrand Ave & President St At Ne Corner,40.66812833,-73.950474,,,1
Nostrand Ave & Eastern Pkwy At Se Corner,40.66980433,-73.950389,,,1
Marcy Ave & Myrtle Ave At Nw Corner,40.69543933,-73.949423,,,1
Schenectady Ave & Eastern Pkwy At Ne Corner,40.66902733,-73.933789,,,1
Utica Ave & Eastern Pkwy At Se Corner,40.66868047,-73.93102884,,,1
Broadway & Myrtle Ave At Nw Corner,40.69685193,-73.93545258,,,1
Bedford Ave & N 7th St At Se Corner,40.71771933,-73.957687,,,1
Union Ave & Flushing Ave At Ne Corner (To Queens Only),40.69996633,-73.949913,,,1
Hewes St & Broadway At Ne Corner,40.70662733,-73.952344,,,1
Union Ave & Metropolitan Ave At Se Corner,40.71376833,-73.951445,,,1
Lorimer St & Broadway At Sw Corner,40.70331333,-73.946688,,,1
Flushing Ave & Broadway At Se Corner,40.70059523,-73.94223515,,,1
Manhattan Ave & Norman Ave At Nw Corner,40.72547833,-73.951906,,,1
Manhattan Ave & Nassau Ave At Nw Corner,40.72381033,-73.950928,,,1
Graham Ave & Metropolitan Ave At Se Corner (To Canarsie Only),40.71444933,-73.944248,,,1
Grand St & Bushwick Ave At Ne Corner (To Canarsie Only),40.71203533,-73.940892,,,1
Morgan Ave & Harrison Pl At Sw Corner,40.70623433,-73.931989,,,1
Manhattan Ave & India St At Se Corner,40.73227033,-73.954415,,,1
Rutland Rd & E. 98th St At Ne Corner,40.66493233,-73.922663,,,1
Saratoga Ave & Livonia Ave At Ne Corner,40.66167533,-73.915345,,,1
Glenwood Rd & Rockaway Pkwy At Nw Corner,40.64554533,-73.902498,,,1
Ralph Ave & Fulton St At Se Corner,40.6787143,-73.92151693,,,1
Hopkinson Ave & Fulton St At Nw Corner,40.67859262,-73.91376868,,,1
Palmetto St & Broadway At Sw Corner,40.68906833,-73.921565,,,1
Jefferson Ave & Broadway At Ne Corner,40.68693333,-73.917295,,,1
Linden St & Broadway At Nw Corner,40.69014133,-73.922948,,,1
Snediker Ave & New York Ave At Sw Corner,40.67569803,-73.90280547,,,1
Alabama Av & Fulton St At Se Corner,40.67676933,-73.899586,,,1
Pennsylvania Ave & Liberty Ave At Sw Corner,40.67423933,-73.896669,,,1
